title,id,commentCount,dislikeCount,likeCount,viewCount,channelId,channelTitle,timestamp
STOP RUINING RICK AND MORTY,ymC0_pRU2Q4,38011,8819,299110,6218324,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1506444576
help.,iMJ6BaWdi9s,38543,5737,259150,3662548,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1506358340
Netflix Is Ruining EVERYTHING I LOVE,zQ5scEuTgLE,16934,6014,180109,3710971,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1506182145
this was me before youtube...,fR947Qv4dHo,19848,3430,236852,3781833,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1506101190
HOW TO MAKE REALLY GOOD THUMBNAILS ON YOUTUBE,Nz3Ngt0AMDA,18298,2734,220446,2840587,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1506011383
My Response to My Response (will delete this later maybe) - LWIAY - #0007,im00eAi3LLU,18278,10613,305292,5058372,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1505924866
THIS IS NOT A BEACH ITS A BATHTUB. - YLYL #0005,BUaKeMm_SJI,16295,6359,299014,5538991,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1505839941
AO ONI,ulXwGuUx2L0,16271,2308,120503,2895580,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1505752718
Death Note Movie Review,j5aO3i-75lg,28953,3234,230058,3169536,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1505670416
.L-S-D.,GrVpSMIWK50,16273,6942,169326,3218326,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1505581255
About A Copyright Strike,ah7LYxysuJ8,30979,4780,279520,3468854,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1505408314
PEWDIEPIE IRL? - LWIAY - #0006,GkTtlN2M6Nw,12571,4396,214579,3577435,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1505321566
My Response,cLdxuaxaQwc,147425,63866,751206,10349806,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1505222146
STREAM FAILS,jpyOcPU-o8k,34567,14989,309576,7185141,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1505149575
ITS ALL OVER!,RH7wMFrWYoA,43954,21825,305741,5572020,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1505065582
H A N D  S I M U  L A T O R,Uh8LnaPKziI,10955,3742,164358,3042030,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1504970288
SEAHORSE,lO7mryQjIes,3643,3386,43757,2035364,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1504892702
ZEBRA,6QnA6laWaoc,2108,3170,48360,1745600,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1504892639
MY COMEDY SPECIAL!,f0eb_FvV7pQ,14685,7412,160574,2626575,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1504888952
WHO AM I? *in 10:00*,uxr6pWVpUpI,19746,3481,146497,2865177,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1504810943
HOW TO GET BIG ON YOUTUBE?,yJlbLNKMRZM,14108,1999,149426,1993618,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1504720583
ELON MUSK,H56rTg8ZarI,17088,4593,229515,3816389,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1504545084
LIFE IS CRINGE - Life Is Strange - S2E01,PX4zk0G4IjM,23209,4858,222753,4501486,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1504459056
$50 VS $500 WHISKEY,gfjgISRI5E4,38022,8269,315760,4841812,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1504290866
THE FALL OF PEWDIEPIE! - LWIAY #0005,izwCDpG4OFk,21013,6550,287043,5432236,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1504213935
YOU LAUGH YOU GET DEMONETIZED / YLYL #0004,dEJzprv013U,25563,9290,393519,7756071,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1504114336
Taking A Trip To The Past..,xQl7Tr5DB5Y,18408,3363,185873,3674290,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1504025702
Seagulls.mov,rpzJaKvZFZg,14116,3452,182533,4086656,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1503944038
HARDEST. GAME. EVER.,NLJiK8BFv7U,19733,4866,212659,3365034,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1503763988
THIS GAME WILL TURN YOU INTO A MAN!,ANCvUG5tf5Y,18524,8891,181085,3766534,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1503680810
MY FLAWS,od5w-cXfr1g,25925,3423,200288,2765966,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1503596559
